citing_wave,WWW,Mobile phones,Tabletop & multitouch,Social media,Smartphones & apps,Crowdsourcing (MTurk),Depth cameras (Kinect),Personal fabrication,Wearables & smartwatches,Deep learning,VR (consumer HMDs),Voice assistants,LLMs & generative AI,VR (1990s)
WWW,0.097,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.039
Mobile phones,0.041,0.081,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.027
Tabletop & multitouch,0.003,0.003,0.074,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006
Social media,0.003,0.002,0.0,0.143,0.003,0.042,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Smartphones & apps,0.019,0.039,0.03,0.008,0.049,0.023,0.008,0.0,0.0,0.0,0.0,0.0,0.0,0.002
Crowdsourcing (MTurk),0.007,0.0,0.004,0.0,0.0,0.296,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Depth cameras (Kinect),0.0,0.019,0.054,0.0,0.002,0.002,0.116,0.0,0.0,0.0,0.0,0.0,0.0,0.009
Personal fabrication,0.002,0.005,0.016,0.002,0.007,0.008,0.011,0.108,0.003,0.003,0.011,0.001,0.0,0.001
Wearables & smartwatches,0.001,0.022,0.032,0.003,0.039,0.013,0.015,0.0,0.049,0.006,0.004,0.004,0.0,0.003
Deep learning,0.011,0.009,0.036,0.049,0.039,0.038,0.018,0.001,0.011,0.136,0.008,0.007,0.0,0.0
VR (consumer HMDs),0.002,0.014,0.017,0.003,0.01,0.003,0.032,0.006,0.005,0.004,0.162,0.0,0.0,0.019
Voice assistants,0.005,0.015,0.005,0.032,0.088,0.035,0.001,0.001,0.006,0.017,0.004,0.273,0.0,0.001
LLMs & generative AI,0.014,0.004,0.005,0.044,0.032,0.03,0.004,0.007,0.006,0.032,0.025,0.085,0.226,0.001
VR (1990s),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.197
