corpus,window_prev,window,clusters_prev,motor_prev,clusters,motor,motor_persisted,motor_persist_rate,cit_subfields,cit_persisted,cit_persist_rate
CHI,1994-1998,1999-2003,0,0,0,0,0,,2,1,0.5
CHI,1999-2003,2004-2008,0,0,1,1,0,0.0,7,1,0.14
CHI,2004-2008,2009-2013,1,1,5,3,0,0.0,35,7,0.2
CHI,2009-2013,2014-2018,5,3,9,4,0,0.0,50,31,0.62
CHI,2014-2018,2019-2023,9,4,10,3,0,0.0,74,43,0.58
CHI,2019-2023,2024-2026,10,3,9,3,1,0.33,59,56,0.95
core venues,1994-1998,1999-2003,5,2,7,3,1,0.33,23,12,0.52
core venues,1999-2003,2004-2008,7,3,11,3,0,0.0,57,23,0.4
core venues,2004-2008,2009-2013,11,3,10,3,0,0.0,99,54,0.55
core venues,2009-2013,2014-2018,10,3,9,2,0,0.0,126,97,0.77
core venues,2014-2018,2019-2023,9,2,7,1,1,1.0,124,118,0.95
core venues,2019-2023,2024-2026,7,1,9,2,0,0.0,104,104,1.0
