wave,start,start_manual,papers,years_to_1pct,years_to_2pct,peak_year,peak_share,share_at_10y_over_peak,subs_with_5plus,sub_entropy,self_reference_share,cohesion_lift,absorbed_into,newcomer_author_share,baseline_newcomer_share,incumbents_from,ref_age,baseline_ref_age
WWW,1994,1994,804,1,2,1998,0.074,0.07,2,0.89,0.097,10.8,Web Search & Navigation 8; Real-time Groupware 6; CSCW Foundations 4,0.74,0.66,Video Interfaces & Editing 2; Fisheye & Scrolling Techniques 2; CSCW Foundations 2,3.0,3.6
Mobile phones,1999,1999,568,0,2,2020,0.023,0.4,0,0.97,0.081,10.1,Pen & Sketch Input 3; Cross-device & Large Display 2; Fisheye & Scrolling Techniqu 2,0.55,0.67,Pen & Sketch Input 3; UI Toolkits & Automatic Generation 2; Real-time Groupware 2,2.9,4.5
Tabletop & multitouch,2007,2005,817,2,2,2010,0.036,0.38,9,0.85,0.074,7.1,Pen & Sketch Input 17; Tabletop Collaboration 15; Tangible Interaction 14,0.49,0.61,Tangible Interaction 6; Tabletop Collaboration 6; CSCW Foundations 4,6.1,5.4
Social media,2010,2007,1715,0,3,2022,0.059,0.79,4,0.73,0.143,24.3,Social Media & Mental Health 41; Crisis Informatics 27; Enterprise Social Media & Cr 12,0.57,0.56,Collaborative Filtering & Trust 7; CSCW Foundations 6; Wikipedia & Open Source 4,3.5,5.3
Smartphones & apps,2011,2008,1654,1,5,2020,0.068,0.92,6,0.93,0.049,10.7,Mobile Information Needs & T 10; Ubicomp Privacy & Home Autom 7; 3D Pointing & VR Interaction 7,0.58,0.54,Family Video Communication 5; Wearable Activity Recognition 5; Gaze in Conversation & Groups 5,4.9,5.3
Crowdsourcing (MTurk),2008,2008,885,2,7,2021,0.031,0.74,3,0.79,0.296,66.1,Crowdsourcing & Human Comput 30; Wikipedia & Open Source 8; Data Visualization 5,0.37,0.6,Bodily Play & Spectator Experience 5; Email & Web Revisitation 5; Meeting Capture & Reading 3,3.6,5.3
Depth cameras (Kinect),2011,2011,295,1,,2012,0.01,0.54,4,0.94,0.116,21.6,Gesture Elicitation & Recogn 9; AR Authoring & Assembly 6; Remote Collaboration & Telep 5,0.56,0.54,Tangible Interaction 8; 3D Pointing & VR Interaction 7; Fisheye & Scrolling Techniques 3,4.7,5.3
Personal fabrication,2016,2012,932,2,3,2022,0.038,,7,0.67,0.108,30.3,Digital Fabrication 88; Printed Electronics 47; Deformable & Soft Displays 17,0.51,0.5,Tangible Interaction 11; Digital Fabrication 11; Video Interfaces & Editing 9,4.6,5.6
Wearables & smartwatches,2015,2014,410,3,,2019,0.018,0.47,7,0.85,0.049,14.1,Hand Input & Gesture Sensing 25; Self-tracking & Reflection 16; Wearable Activity Recognitio 16,0.44,0.49,Text Entry 6; Cross-device & Large Displays 6; Crowdsourcing & Human Computation 6,5.2,5.5
Deep learning,2015,2015,1475,1,3,2023,0.058,0.78,19,0.85,0.136,32.5,Affect Recognition 41; Wearable Activity Recognitio 33; Neural Session Recommendatio 18,0.65,0.49,Affect Recognition 12; Social Tagging & Group Recommendation 7; Fisheye & Scrolling Techniques 4,4.0,5.5
VR (consumer HMDs),2016,2016,2409,0,1,2019,0.096,,27,0.79,0.162,35.0,VR Haptics 108; VR Locomotion & Presence 72; Mixed Reality Rooms & Video 55,0.62,0.5,Bodily Play & Spectator Experience 19; 3D Pointing & VR Interaction 14; Hand Input & Gesture Sensing 13,5.9,5.6
Voice assistants,2018,2016,1052,1,1,2021,0.043,,8,0.55,0.273,47.1,Voice & Conversational Agent 229; Robots & Agents in Education 29; Social Robots in the Field 17,0.48,0.48,Social Robots in the Field 15; Wikipedia & Open Source 10; ICTD & Rural Communities 10,5.1,5.8
LLMs & generative AI,2023,2022,2167,0,0,2025,0.175,,60,0.73,0.226,9.8,Generative AI & Writing 479; Voice & Conversational Agent 201; Robots & Agents in Education 101,0.53,0.49,Social Robots in the Field 67; Voice & Conversational Agents 60; Generative AI & Writing 48,4.9,6.1
VR (1990s),1992,1992,169,0,1,1999,0.103,0.39,0,0.96,0.197,19.0,Fisheye & Scrolling Techniqu 4; CSCW Foundations 3; 3D Pointing & VR Interaction 3,0.72,0.71,Pointing & Target Selection 2; UI Toolkits & Automatic Generation 1; Multimodal Speech Interfaces 1,3.4,3.2
