sub,name,group,papers,birth,founders,y0,y2,y4,y6,y8,y10,y15
147,Paper Circuits & Electronics Prototyping,hci,173,2006,11,nan,0.0,0.33,0.25,0.2,0.25,0.0
148,Deformable Surfaces & Projection Mapping,hci,80,2011,15,1.0,0.8,0.57,0.62,0.2,nan,nan
149,Battery-free & Wireless Devices,hci,89,2016,24,0.75,0.7,0.75,0.45,0.56,0.67,nan
150,Gaze-based Interaction,hci,490,1996,2,0.0,0.0,0.5,0.0,0.0,0.0,0.0
151,Hand Sensing & Input,hci,804,2001,2,nan,0.2,nan,nan,0.0,0.0,0.0
152,Task Models & UI Engineering,hci,391,1981,6,0.25,0.1,0.33,nan,0.0,0.0,0.0
153,Information Navigation,hci,389,1988,4,nan,0.2,0.07,0.12,0.0,0.1,0.11
154,Pointing & Target Selection,hci,409,1995,3,nan,0.33,nan,nan,0.0,0.1,0.06
155,Gesture Elicitation & Recognition,hci,248,1999,5,nan,0.33,nan,0.0,nan,0.0,0.0
156,Text Entry,hci,368,1996,3,nan,0.25,0.6,0.0,0.0,0.0,0.1
158,Touch & Multi-touch Input,hci,260,1997,3,nan,nan,nan,0.0,nan,0.0,0.0
161,Authentication & Biometrics,hci,105,2012,14,0.4,0.38,0.6,0.14,0.17,0.33,nan
162,Multimodal Fusion Architectures,hci,42,2003,6,nan,0.33,nan,nan,nan,nan,nan
